Setup,LogMel diff. (ℓ₁) ↓,WER ↓,UTMOS ↑
Original wav,-,0.0501,4.0056
Full RVQ levels,0.3755,0.0000,4.0869
5 RVQ levels,0.8844,0.0286,3.3534
3 RVQ levels,1.0712,0.0138,2.5594
2 RVQ levels,1.2445,0.0423,1.8626
1 RVQ level,1.5670,0.1408,1.3141
